EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,123,33,90,3,,3,2,,2,52,16,36
Bank of Montreal,2017,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,3,3,,,,,1,1,,,,
Bank of Montreal,2015,Provincial,Manitoba,,,Overall,Part-Time,13,3,10,3,1,2,1,,1,3,,3
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,10,5,5,,,,,,,3,1,2
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,310,141,169,3,2,1,4,1,3,114,52,62
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,81,36,45,3,,3,4,2,2,36,17,19
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,4,1,3,,,,,,,2,1,1
Bank of Montreal,2017,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,4,2,2,1,,1,,,,1,1,
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,74,36,38,2,1,1,1,1,,29,14,15
Bank of Montreal,2015,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2010,Provincial,Manitoba,,,Overall,Full-Time,45,21,24,6,1,5,1,1,,6,1,5
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,6,4,2,,,,,,,1,,1
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,73,42,31,1,,1,,,,41,25,16
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,12,7,5,,,,1,,1,,,
Bank of Montreal,2011,Provincial,Alberta,,,Overall,Full-Time,320,140,180,5,1,4,9,5,4,108,63,45
Bank of Montreal,2015,Provincial,Manitoba,,,Overall,Full-Time,42,25,17,3,3,,1,1,,14,10,4
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,566,238,328,3,1,2,8,3,5,311,144,167
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,326,83,243,7,,7,7,2,5,102,37,65
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,188,90,98,2,1,1,,,,70,31,39
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,2,1,1,,,,,,,,,
Bank of Montreal,2016,Provincial,Manitoba,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,12,2,10,1,,1,1,,1,4,2,2
Bank of Montreal,2017,Provincial,Saskatchewan,,,Overall,Part-Time,40,6,34,1,,1,,,,16,3,13
