EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,QUARTERID,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,SALARYRANGEBOTTOM($),SALARYRANGETOP($)
Bank of Montreal,2018,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,1,239,126,113,7,4,3,4,2,2,73,44,29,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,3,,3,,,,,,,1,,1,"$ 30,000 - $34,999","$ 60,000 - $64,999"
Bank of Montreal,2018,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,3,1,,1,,,,,,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2018,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,1,1,,1,,,,1,,1,1,,1,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2010,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Other Sales and Service Personnel,2,,,,,,,,,,,,,"$ 30,000 - $34,999","$ 40,000 - $44,999"
Bank of Montreal,2010,Full-Time,Provincial,British Columbia,,,Overall,,2029,684,1345,40,11,29,52,24,28,787,310,477,,
Bank of Montreal,2010,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Senior Managers,2,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Clerical Personnel,4,6,3,3,,,,,,,1,1,,"$ 25,000 - $29,999","$ 70,000 - $74,999"
Bank of Montreal,2010,Part-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,2,390,56,334,6,,6,8,2,6,91,27,64,"Under $5,000","$ 45,000 - $49,999"
Bank of Montreal,2019,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,3,,3,,,,,,,,,,"$ 30,000 - $34,999","$ 75,000 - $79,999"
Bank of Montreal,2019,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,4,3,2,1,,,,,,,,,,"$ 55,000 - $59,999","$100,000 and over"
Bank of Montreal,2019,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,4,1,1,,,,,,,,1,1,,"Under $5,000","$100,000 and over"
Bank of Montreal,2019,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Clerical Personnel,4,4,3,1,,,,,,,2,2,,"$ 10,000 - $14,999","$ 50,000 - $54,999"
Bank of Montreal,2019,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,3,,,,,,,,,,,,,"$ 10,000 - $14,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,3,92,46,46,,,,3,1,2,24,16,8,"Under $5,000","$ 95,000 - $99,999"
Bank of Montreal,2018,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,3,3,3,,,,,,,,,,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,2,13,11,2,,,,2,2,,6,4,2,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,2,18,16,2,,,,1,1,,5,4,1,"Under $5,000","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Professionals,1,6200,3541,2659,38,17,21,213,115,98,3208,1878,1330,"Under $5,000","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,3,,,,,,,,,,,,,"$ 20,000 - $24,999","$ 85,000 - $89,999"
Bank of Montreal,2018,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Middle and Other Managers,3,1,,1,,,,,,,1,,1,"$ 25,000 - $29,999","$ 70,000 - $74,999"
Bank of Montreal,2018,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,1,,1,,,,,,,,,,"$ 25,000 - $29,999","$ 30,000 - $34,999"
Bank of Montreal,2013,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,3,13,7,6,,,,1,,1,1,,1,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2013,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Supervisors,2,,,,,,,,,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2013,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,3,2,1,1,,,,,,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2013,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Supervisors,4,,,,,,,,,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2013,Part-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,4,2,,2,,,,,,,,,,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2013,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Middle and Other Managers,3,3,,3,,,,,,,,,,"$ 25,000 - $29,999","$ 90,000 - $94,999"
Bank of Montreal,2013,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Middle and Other Managers,2,11,,11,,,,,,,,,,"$ 25,000 - $29,999","$ 90,000 - $94,999"
Bank of Montreal,2016,Full-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,5,1,4,,,,,,,3,1,2,"$  5,000 - $ 9,999","$ 65,000 - $69,999"
Bank of Montreal,2016,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Professionals,1,603,291,312,,,,19,10,9,116,61,55,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2016,Part-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,4,,,,,,,,,,,,,"$ 30,000 - $34,999","$ 30,000 - $34,999"
Bank of Montreal,2017,Full-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,1,8296,3859,4437,108,39,69,420,151,269,2728,1433,1295,"Under $5,000","$100,000 and over"
Bank of Montreal,2017,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,13,3,10,,,,,,,2,,2,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,1,,1,,,,,,,,,,"$ 60,000 - $64,999","$ 60,000 - $64,999"
Bank of Montreal,2011,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,2,1014,326,688,16,4,12,38,18,20,571,202,369,"$ 20,000 - $24,999","$ 70,000 - $74,999"
Bank of Montreal,2011,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,2,2,,,,,,,,,,,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2011,Part-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,3,5,,5,1,,1,,,,,,,"$ 10,000 - $14,999","$ 25,000 - $29,999"
Bank of Montreal,2011,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Clerical Personnel,3,57,5,52,,,,,,,8,1,7,"Under $5,000","$ 45,000 - $49,999"
Bank of Montreal,2014,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,5,3,2,,,,,,,1,,1,"Under $5,000","$ 90,000 - $94,999"
Bank of Montreal,2014,Part-Time,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,4,2,,2,,,,,,,2,,2,"Under $5,000","$ 60,000 - $64,999"
Bank of Montreal,2014,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Clerical Personnel,1,8,4,4,,,,,,,4,1,3,"$  5,000 - $ 9,999","$ 50,000 - $54,999"
Bank of Montreal,2012,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Supervisors,4,3,,3,,,,,,,1,,1,"$ 45,000 - $49,999","$ 75,000 - $79,999"
Bank of Montreal,2012,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Professionals,3,6,5,1,1,1,,,,,,,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2012,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,2,4,,4,,,,,,,,,,"$ 15,000 - $19,999","$ 50,000 - $54,999"
Bank of Montreal,2012,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,21,3,18,,,,1,,1,2,,2,"$ 10,000 - $14,999","$ 55,000 - $59,999"
Bank of Montreal,2015,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Supervisors,2,154,62,92,3,,3,4,,4,47,19,28,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2015,Part-Time,National,Canada,5221,Depository Credit Intermediation,Supervisors,3,6,3,3,,,,,,,2,2,,"$  5,000 - $ 9,999","$ 65,000 - $69,999"
Bank of Montreal,2015,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,1,1,,,,,,,,1,1,,"$ 35,000 - $39,999","$ 40,000 - $44,999"
Bank of Montreal,2012,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,1,2,1,1,,,,,,,,,,"$ 55,000 - $59,999","$ 65,000 - $69,999"
Bank of Montreal,2012,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Professionals,4,1,,1,,,,,,,,,,"$ 10,000 - $14,999","$100,000 and over"
Bank of Montreal,2015,Full-Time,National,Canada,5221,Depository Credit Intermediation,Professionals,1,7732,4371,3361,57,25,32,229,119,110,3219,1928,1291,"Under $5,000","$100,000 and over"
Bank of Montreal,2015,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,5,1,4,1,,1,,,,3,1,2,"$  5,000 - $ 9,999","$ 50,000 - $54,999"
Bank of Montreal,2015,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,183,47,136,3,,3,6,3,3,98,25,73,"Under $5,000","$ 90,000 - $94,999"
Bank of Montreal,2015,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Clerical Personnel,4,1,,1,,,,,,,,,,"$ 25,000 - $29,999","$ 75,000 - $79,999"
Bank of Montreal,2015,Part-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,3,1,,1,,,,,,,,,,"$ 35,000 - $39,999","$ 70,000 - $74,999"
Bank of Montreal,2015,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,217,84,133,1,,1,6,5,1,83,33,50,"Under $5,000","$ 65,000 - $69,999"
Bank of Montreal,2011,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,3,3,3,,,,,,,,,,,"$ 55,000 - $59,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,3,3,3,,,,,,,,2,2,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2011,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,89,10,79,1,1,,3,1,2,46,6,40,"Under $5,000","$ 55,000 - $59,999"
Bank of Montreal,2014,Full-Time,National,Canada,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,2,,,,,,,,,,,,,"$ 80,000 - $84,999","$ 95,000 - $99,999"
Bank of Montreal,2014,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,3,5,4,1,,,,1,1,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2014,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,1,44,5,39,2,,2,1,,1,,,,"$ 35,000 - $39,999","$100,000 and over"
Bank of Montreal,2014,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,2,1,1,,,,,,,,,,"$  5,000 - $ 9,999","$ 65,000 - $69,999"
Bank of Montreal,2014,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,4,11,1,10,,,,1,,1,3,,3,"$ 10,000 - $14,999","$ 60,000 - $64,999"
Bank of Montreal,2014,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Middle and Other Managers,3,3,,3,,,,,,,1,,1,"$ 40,000 - $44,999","$ 55,000 - $59,999"
Bank of Montreal,2014,Part-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,26,7,19,,,,,,,5,1,4,"Under $5,000","$ 40,000 - $44,999"
Bank of Montreal,2014,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,3,,,,,,,,,,,,,"$ 25,000 - $29,999","$ 35,000 - $39,999"
Bank of Montreal,2017,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,7,,7,1,,1,,,,,,,"$ 25,000 - $29,999","$ 70,000 - $74,999"
Bank of Montreal,2017,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Professionals,1,556,262,294,2,,2,20,9,11,113,55,58,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,14,5,9,,,,,,,9,3,6,"$ 10,000 - $14,999","$ 85,000 - $89,999"
Bank of Montreal,2017,Part-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,3,15,2,13,2,,2,,,,1,,1,"Under $5,000","$ 35,000 - $39,999"
Bank of Montreal,2017,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Supervisors,4,8,3,5,,,,,,,6,2,4,"$ 15,000 - $19,999","$ 35,000 - $39,999"
Bank of Montreal,2013,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Middle and Other Managers,3,,,,,,,,,,,,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2013,Part-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Clerical Personnel,3,6,1,5,,,,1,,1,1,,1,"$ 10,000 - $14,999","$ 30,000 - $34,999"
Bank of Montreal,2010,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,1,2,,2,,,,,,,,,,"$ 40,000 - $44,999","$ 50,000 - $54,999"
Bank of Montreal,2010,Part-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,3,,3,,,,,,,,,,"$ 25,000 - $29,999","$ 30,000 - $34,999"
Bank of Montreal,2010,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Professionals,1,27,2,25,,,,,,,8,,8,"$ 10,000 - $14,999","$100,000 and over"
Bank of Montreal,2019,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,2,47,21,26,,,,,,,28,14,14,"Under $5,000","$100,000 and over"
Bank of Montreal,2019,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Clerical Personnel,1,5,,5,,,,,,,2,,2,"$ 30,000 - $34,999","$ 50,000 - $54,999"
Bank of Montreal,2019,Part-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Clerical Personnel,2,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2018,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Supervisors,4,,,,,,,,,,,,,"$ 50,000 - $54,999","$ 50,000 - $54,999"
Bank of Montreal,2018,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,1,24,15,9,,,,1,,1,1,1,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Other Sales and Service Personnel,3,,,,,,,,,,,,,"$ 55,000 - $59,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,61,11,50,,,,6,1,5,40,7,33,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2018,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Clerical Personnel,3,26,4,22,,,,3,,3,11,2,9,"$ 10,000 - $14,999","$ 45,000 - $49,999"
Bank of Montreal,2016,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,2,19,4,15,,,,2,,2,3,1,2,"$ 25,000 - $29,999","$ 90,000 - $94,999"
Bank of Montreal,2016,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Middle and Other Managers,4,1,1,,,,,,,,,,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2019,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,485,132,353,7,2,5,29,7,22,201,77,124,"Under $5,000","$ 75,000 - $79,999"
Bank of Montreal,2019,Full-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,63,13,50,3,,3,6,,6,29,6,23,"$  5,000 - $ 9,999","$ 90,000 - $94,999"
Bank of Montreal,2019,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Clerical Personnel,3,,,,,,,,,,,,,"$ 25,000 - $29,999","$ 95,000 - $99,999"
Bank of Montreal,2019,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Supervisors,1,39,8,31,,,,4,,4,15,4,11,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2019,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Middle and Other Managers,3,,,,,,,,,,,,,"$ 45,000 - $49,999","$100,000 and over"
Bank of Montreal,2019,Part-Time,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,1,3,,3,,,,,,,1,,1,"Under $5,000","$ 50,000 - $54,999"
Bank of Montreal,2019,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,4,2,1,1,,,,1,1,,2,1,1,"$ 20,000 - $24,999","$ 25,000 - $29,999"
Bank of Montreal,2019,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,4,11,1,10,,,,1,,1,4,1,3,"Under $5,000","$ 45,000 - $49,999"
Bank of Montreal,2019,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,4,1,,1,,,,,,,,,,"$ 30,000 - $34,999","$ 70,000 - $74,999"
Bank of Montreal,2018,Full-Time,National,Canada,5221,Depository Credit Intermediation,Senior Managers,4,2,2,,,,,,,,,,,"$ 95,000 - $99,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,2,18,9,9,1,,1,1,1,,1,,1,"$ 20,000 - $24,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Middle and Other Managers,1,244,126,118,8,4,4,7,2,5,91,50,41,"Under $5,000","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,2,,2,,,,,,,1,,1,"$ 30,000 - $34,999","$ 60,000 - $64,999"
Bank of Montreal,2018,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Professionals,4,1,,1,,,,,,,1,,1,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2013,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Supervisors,3,13,3,10,,,,1,,1,1,1,,"$ 25,000 - $29,999","$ 95,000 - $99,999"
Bank of Montreal,2013,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,3,,,,,,,,,,,,,"$ 55,000 - $59,999","$ 85,000 - $89,999"
Bank of Montreal,2016,Full-Time,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,1,23,8,15,,,,,,,14,5,9,"Under $5,000","$ 95,000 - $99,999"
Bank of Montreal,2016,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Other Sales and Service Personnel,4,1,1,,,,,,,,,,,"$ 65,000 - $69,999","$100,000 and over"
Bank of Montreal,2016,Part-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Middle and Other Managers,1,1,,1,,,,,,,1,,1,"$ 55,000 - $59,999","$ 55,000 - $59,999"
Bank of Montreal,2017,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,2,17,13,4,,,,,,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2017,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,3,25,5,20,,,,,,,7,1,6,"$ 10,000 - $14,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,1,,1,,,,,,,,,,"$  5,000 - $ 9,999","$ 65,000 - $69,999"
Bank of Montreal,2017,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,3,4,2,2,,,,,,,1,,1,"$ 45,000 - $49,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,1,,1,,,,,,,,,,"$  5,000 - $ 9,999","$ 65,000 - $69,999"
Bank of Montreal,2017,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,3,,,,,,,,,,,,,"$ 90,000 - $94,999","$ 90,000 - $94,999"
Bank of Montreal,2011,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Supervisors,2,1,1,,,,,,,,,,,"$ 40,000 - $44,999","$ 70,000 - $74,999"
Bank of Montreal,2011,Part-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,1,1,,1,,,,,,,,,,"$ 55,000 - $59,999","$ 55,000 - $59,999"
Bank of Montreal,2014,Full-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,3,2,2,,,,,,,,1,1,,"Under $5,000","$100,000 and over"
Bank of Montreal,2014,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,18,,18,1,,1,,,,7,,7,"$  5,000 - $ 9,999","$ 65,000 - $69,999"
Bank of Montreal,2014,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,4,1,,1,,,,,,,1,,1,"$ 35,000 - $39,999","$ 40,000 - $44,999"
Bank of Montreal,2014,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,1,,1,,,,,,,1,,1,"$ 10,000 - $14,999","$ 10,000 - $14,999"
Bank of Montreal,2014,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,2,3,,3,,,,,,,1,,1,"$ 15,000 - $19,999","$ 50,000 - $54,999"
Bank of Montreal,2014,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,1,,1,,,,,,,1,,1,"$ 10,000 - $14,999","$ 10,000 - $14,999"
Bank of Montreal,2014,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Professionals,3,1,1,,,,,,,,,,,"$ 35,000 - $39,999","$100,000 and over"
Bank of Montreal,2015,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,8,1,7,,,,1,,1,,,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2015,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,3,15,2,13,,,,1,,1,,,,"Under $5,000","$ 40,000 - $44,999"
Bank of Montreal,2015,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,4,1,,1,,,,,,,,,,"$ 60,000 - $64,999","$ 70,000 - $74,999"
Bank of Montreal,2015,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,2,,,,,,,,,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2015,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Clerical Personnel,2,10,1,9,1,,1,1,,1,5,,5,"$ 25,000 - $29,999","$ 75,000 - $79,999"
Bank of Montreal,2015,Part-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,1,155,9,146,1,,1,6,,6,37,5,32,"Under $5,000","$100,000 and over"
Bank of Montreal,2015,Part-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,2,,2,,,,,,,,,,"$ 10,000 - $14,999","$ 60,000 - $64,999"
Bank of Montreal,2012,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,1,14,4,10,,,,,,,3,1,2,"$ 45,000 - $49,999","$ 95,000 - $99,999"
Bank of Montreal,2012,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,4,,,,,,,,,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2019,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,3,5,1,4,,,,,,,2,1,1,"Under $5,000","$100,000 and over"
Bank of Montreal,2019,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Clerical Personnel,1,1,,1,,,,,,,1,,1,"$ 25,000 - $29,999","$ 95,000 - $99,999"
Bank of Montreal,2019,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,2,2,,,,,,,,,,,"$ 35,000 - $39,999","$ 70,000 - $74,999"
Bank of Montreal,2019,Part-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,3,2,1,1,,,,,,,,,,"$ 15,000 - $19,999","$ 50,000 - $54,999"
Bank of Montreal,2019,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,283,110,173,2,,2,5,1,4,102,39,63,"Under $5,000","$ 50,000 - $54,999"
Bank of Montreal,2010,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,4,4,2,2,,,,,,,1,,1,"$ 35,000 - $39,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Senior Managers,4,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Middle and Other Managers,2,18,15,3,,,,,,,1,,1,"$ 45,000 - $49,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Supervisors,3,50,19,31,,,,2,1,1,21,10,11,"$ 35,000 - $39,999","$100,000 and over"
