EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,3771,1635,2136,36,12,24,148,47,101,1553,711,842,3567,1564,2003,34,12,22,140,46,94,1466,679,787
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,,,
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,169,86,83,3,1,2,4,,4,76,41,35
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,4,1,3,,,,,,,2,,2
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,70,12,58,3,,3,,,,17,4,13
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,1040,568,472,6,3,3,24,15,9,472,263,209
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,1,,1
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,150,66,84,3,,3,6,,6,73,32,41
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Full-Time,338,101,237,6,2,4,8,2,6,110,40,70,307,95,212,6,2,4,7,2,5,99,37,62
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,143,31,112,6,,6,2,2,,51,10,41,133,28,105,5,,5,2,2,,46,9,37
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,5,,5,,,,,,,3,,3
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,3,,3,,,,,,,,,
Bank of Montreal,2010,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,1,,1,,,,1,,1
Bank of Montreal,2014,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Full-Time,20,10,10,1,,1,,,,3,3,,20,10,10,1,,1,,,,3,3,
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,34,14,20,1,,1,3,2,1,18,6,12
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,2,1,1,,,,1,1,,,,
Bank of Montreal,2012,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Full-Time,68,23,45,3,1,2,,,,17,9,8,57,18,39,3,1,2,,,,13,6,7
Bank of Montreal,2014,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,12,6,6,1,,1,,,,1,1,
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,7,1,6,,,,,,,2,1,1
Bank of Montreal,2019,Provincial,Manitoba,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,4,1,3,,,,,,,2,1,1
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,1184,583,601,18,7,11,20,5,15,578,298,280
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,252,104,148,3,,3,11,7,4,121,51,70
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Overall,Part-Time,34,6,28,1,,1,1,1,,5,1,4,34,6,28,1,,1,1,1,,5,1,4
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Part-Time,92,23,69,3,,3,2,,2,39,7,32,85,22,63,2,,2,1,,1,34,6,28
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,2,,2
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,218,78,140,3,1,2,14,3,11,97,43,54
Bank of Montreal,2013,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,4,1,3,,,,,,,1,,1
Bank of Montreal,2013,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,2,2,,,,,1,1,,1,1,
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,6,5,1,,,,,,,,,
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,140,49,91,1,,1,9,3,6,55,26,29,138,48,90,1,,1,9,3,6,55,26,29
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,13,1,12,1,,1,1,,1,6,,6
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,132,76,56,,,,3,1,2,72,40,32
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,309,64,245,1,,1,4,2,2,81,15,66,287,59,228,1,,1,4,2,2,73,14,59
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,61,13,48,,,,2,2,,19,3,16
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,277,66,211,7,,7,11,2,9,68,22,46
Bank of Montreal,2010,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,26,11,15,1,,1,,,,5,3,2
Bank of Montreal,2010,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,4,1,3,,,,1,,1,1,,1
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,1,,1
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,9,3,6,,,,1,1,,2,2,
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,10,8,2,,,,1,1,,,,
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,26,2,24,,,,1,,1,7,,7
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,8,3,5,,,,,,,1,,1
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,2024,1018,1006,25,14,11,37,23,14,914,499,415
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1222,514,708,23,8,15,25,10,15,369,178,191
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,16,5,11,,,,,,,7,1,6
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,13,7,6,,,,,,,2,1,1
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,52,25,27,,,,2,,2,29,12,17
Bank of Montreal,2016,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Full-Time,51,24,27,2,1,1,3,3,,15,6,9,44,20,24,2,1,1,3,3,,13,6,7
Bank of Montreal,2011,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,3,,3,,,,1,,1,1,,1
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,14,3,11,,,,1,,1,5,1,4
Bank of Montreal,2018,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,13,3,10,,,,1,1,,1,,1
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2012,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Full-Time,62,21,41,1,1,,1,1,,13,4,9,54,19,35,1,1,,1,1,,12,4,8
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Full-Time,311,106,205,7,3,4,2,2,,104,40,64,283,94,189,7,3,4,2,2,,95,34,61
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,7,2,5,,,,,,,4,2,2
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,80,38,42,2,,2,3,,3,36,16,20
Bank of Montreal,2017,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,220,35,185,4,,4,5,1,4,44,9,35,210,33,177,4,,4,5,1,4,42,9,33
Bank of Montreal,2010,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,5,4,1,,,,,,,1,1,
Bank of Montreal,2014,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,1,,1,,,
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,3,2,1,,,,,,,2,1,1
Bank of Montreal,2011,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Full-Time,58,22,36,1,,1,1,,1,9,4,5,53,20,33,1,,1,1,,1,9,4,5
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
Bank of Montreal,2013,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,10,,10,2,,2,,,,,,
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,147,49,98,,,,4,1,3,77,28,49
Bank of Montreal,2012,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,8,3,5,1,1,,,,,6,3,3
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,444,154,290,7,2,5,16,8,8,195,82,113
Bank of Montreal,2014,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,11,5,6,,,,,,,,,
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,127,65,62,1,1,,1,1,,35,18,17
Bank of Montreal,2019,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,26,13,13,,,,2,,2,7,3,4
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,60,18,42,1,,1,,,,20,4,16
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,23,6,17,,,,,,,5,1,4
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,23,7,16,,,,1,,1,10,5,5
Bank of Montreal,2014,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,25,11,14,,,,1,,1,,,
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,35,18,17,1,,1,2,1,1,6,5,1
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,7,2,5,,,,1,1,,,,
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Full-Time,55,22,33,,,,1,,1,20,11,9,47,18,29,,,,1,,1,16,9,7
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,1,1,
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,186,87,99,,,,6,1,5,34,19,15
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,21,10,11,,,,,,,3,2,1
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,1,,1
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Part-Time,14,2,12,1,,1,,,,5,2,3,14,2,12,1,,1,,,,5,2,3
Bank of Montreal,2013,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Full-Time,24,2,22,3,,3,,,,,,,23,2,21,3,,3,,,,,,
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,642,146,496,18,4,14,38,4,34,179,55,124
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,8,3,5,,,,,,,2,2,
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,1,,1
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Overall,Part-Time,35,12,23,,,,2,1,1,7,2,5,35,12,23,,,,2,1,1,7,2,5
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,1,,1
Bank of Montreal,2011,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,97,58,39,4,3,1,1,,1,47,29,18
Bank of Montreal,2011,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,4,,4,,,,,,,,,
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,140,66,74,2,1,1,1,,1,63,30,33
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,2,,2
Bank of Montreal,2016,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Part-Time,3,,3,,,,,,,,,,3,,3,,,,,,,,,
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Full-Time,2676,1195,1481,37,16,21,73,35,38,1248,604,644,2457,1106,1351,32,13,19,69,32,37,1153,560,593
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Full-Time,44,13,31,,,,3,1,2,5,4,1,39,13,26,,,,2,1,1,5,4,1
Bank of Montreal,2012,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,2,,2,1,,1,,,,,,
Bank of Montreal,2013,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Part-Time,5,1,4,,,,,,,,,,4,1,3,,,,,,,,,
Bank of Montreal,2015,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Full-Time,56,24,32,2,,2,1,,1,8,5,3,52,23,29,2,,2,1,,1,8,5,3
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,7,3,4,,,,,,,4,2,2
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,66,11,55,2,,2,2,,2,14,3,11
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,28,16,12,,,,,,,13,7,6
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,1,1,
Bank of Montreal,2012,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,14,6,8,1,1,,,,,1,,1
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,6,2,4,,,,2,2,,3,2,1
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,28,4,24,,,,,,,9,2,7
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,9,1,8,1,,1,,,,3,1,2
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,276,74,202,5,1,4,4,2,2,68,19,49
Bank of Montreal,2011,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,16,9,7,,,,,,,,,
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,1,,1
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,25,8,17,1,,1,1,,1,4,3,1
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,8,3,5,,,,,,,3,2,1
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Full-Time,431,115,316,16,6,10,8,1,7,121,37,84,391,103,288,15,5,10,8,1,7,107,31,76
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Full-Time,23,8,15,2,1,1,,,,1,,1,21,7,14,2,1,1,,,,1,,1
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,25,15,10,,,,,,,8,6,2
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,17,3,14,,,,,,,4,2,2
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,74,29,45,1,1,,5,3,2,41,16,25
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Full-Time,2620,1142,1478,30,9,21,83,28,55,1098,559,539,2380,1053,1327,27,7,20,75,23,52,1019,522,497
Bank of Montreal,2016,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,11,3,8,1,,1,,,,3,1,2
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,11,2,9,,,,1,1,,10,2,8
Bank of Montreal,2019,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Bank of Montreal,2012,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,20,8,12,,,,,,,1,,1
Bank of Montreal,2012,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,6,1,5,,,,,,,3,1,2
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,30,1,29,,,,2,,2,10,,10
Bank of Montreal,2013,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2015,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,4,3,1,,,,,,,1,1,
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,110,50,60,,,,1,,1,47,25,22
Bank of Montreal,2012,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,7,4,3,,,,,,,,,
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,606,334,272,3,1,2,19,12,7,282,161,121
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Bank of Montreal,2017,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Full-Time,45,21,24,5,4,1,2,1,1,17,7,10,43,20,23,5,4,1,2,1,1,16,7,9
Bank of Montreal,2017,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,11,2,9,2,,2,,,,4,1,3
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,187,77,110,,,,,,,29,13,16
Bank of Montreal,2012,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,6,3,3,,,,,,,2,1,1
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,125,52,73,2,1,1,1,1,,39,18,21
Bank of Montreal,2014,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,7,1,6,,,,,,,1,1,
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,5,2,3,,,,,,,1,1,
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,135,30,105,2,,2,1,1,,48,17,31
Bank of Montreal,2014,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Part-Time,4,2,2,,,,,,,,,,4,2,2,,,,,,,,,
Bank of Montreal,2014,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2016,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,8,3,5,,,,,,,1,1,
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,,1,1,,1,,,,,,
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,348,164,184,2,,2,6,3,3,96,49,47
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,51,30,21,,,,1,,1,13,8,5
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,786,409,377,5,3,2,30,10,20,360,181,179
Bank of Montreal,2017,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,8,2,6,1,1,,,,,,,
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,103,20,83,1,,1,1,,1,24,8,16
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,5,2,3,,,,,,,2,1,1
