EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,6,1,5,,,,1,,1,3,1,2
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,3,1,2,,,,1,,1,1,1,
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,44,29,15,,,,2,1,1,12,9,3
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,76,11,65,3,1,2,1,,1,38,6,32
Bank of Montreal,2019,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Full-Time,38,17,21,2,2,,2,2,,14,6,8,36,17,19,2,2,,2,2,,13,6,7
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,22,6,16,,,,1,1,,7,2,5
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,14,,14,1,,1,,,,5,,5
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,649,324,325,6,1,5,11,7,4,188,109,79
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,3,1,2,,,,,,,3,1,2
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Bank of Montreal,2014,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Part-Time,2,1,1,,,,,,,1,1,,2,1,1,,,,,,,1,1,
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,70,15,55,,,,,,,22,10,12
Bank of Montreal,2010,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,16,11,5,2,2,,,,,,,
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,18,8,10,,,,1,1,,1,1,
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,768,405,363,3,1,2,22,12,10,326,182,144
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,186,82,104,4,,4,16,4,12,82,35,47
Bank of Montreal,2012,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,26,10,16,,,,1,1,,5,1,4
Bank of Montreal,2014,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Part-Time,2,,2,,,,,,,1,,1,2,,2,,,,,,,1,,1
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,10,4,6,,,,,,,5,2,3
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Part-Time,3,1,2,,,,,,,2,1,1,3,1,2,,,,,,,2,1,1
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,226,49,177,5,,5,4,,4,79,15,64,203,44,159,4,,4,3,,3,66,13,53
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,14,,14,,,,,,,4,,4
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Full-Time,254,101,153,9,3,6,6,2,4,94,46,48,233,89,144,8,2,6,6,2,4,85,41,44
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,7,,7,1,,1,1,,1,,,
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,145,36,109,4,1,3,3,,3,44,16,28
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,7,2,5,,,,,,,1,,1
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Overall,Full-Time,773,378,395,4,1,3,16,7,9,248,127,121,737,363,374,4,1,3,16,7,9,239,122,117
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,24,11,13,1,,1,,,,10,6,4
Bank of Montreal,2018,Provincial,British Columbia,5221,Depository Credit Intermediation,Overall,Full-Time,477,162,315,8,3,5,30,3,27,219,77,142,371,132,239,5,2,3,25,3,22,174,64,110
Bank of Montreal,2018,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,7,2,5,,,,,,,4,1,3
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,5,,5,,,,1,,1,1,,1
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,4,2,2,,,,,,,,,
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Full-Time,43,18,25,2,,2,1,,1,14,10,4,40,16,24,2,,2,1,,1,13,9,4
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,9,,9,,,,,,,2,,2
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,28,20,8,,,,1,1,,13,9,4
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,722,331,391,4,2,2,25,8,17,270,142,128
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,1489,375,1114,33,3,30,26,7,19,533,177,356
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,11,6,5,,,,,,,1,1,
Bank of Montreal,2019,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,11,3,8,,,,,,,,,
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,14,5,9,,,,1,,1,4,2,2
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,17,6,11,,,,2,,2,7,3,4
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Full-Time,287,117,170,2,,2,4,,4,91,44,47,264,105,159,2,,2,4,,4,85,41,44
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,182,60,122,1,1,,3,2,1,66,22,44
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Part-Time,62,6,56,2,,2,3,,3,17,3,14,58,6,52,2,,2,2,,2,15,3,12
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,968,497,471,7,2,5,24,10,14,411,231,180
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,3,,3,,,,,,,1,,1
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,5,,5,,,,,,,1,,1
Bank of Montreal,2013,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,10,1,9,,,,,,,,,
Bank of Montreal,2013,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2012,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,74,17,57,,,,,,,32,9,23
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,45,30,15,,,,2,1,1,26,17,9
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Overall,Part-Time,16,6,10,1,,1,1,1,,6,4,2,16,6,10,1,,1,1,1,,6,4,2
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,1,1,,,,,1,1,,1,1,
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1150,588,562,15,7,8,20,8,12,348,193,155
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,98,28,70,2,,2,2,,2,30,7,23
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,54,29,25,,,,2,2,,17,13,4
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,155,60,95,3,1,2,4,1,3,59,32,27
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Full-Time,87,29,58,2,,2,4,1,3,7,4,3,79,27,52,2,,2,4,1,3,6,3,3
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,168,48,120,1,1,,4,4,,44,15,29,157,46,111,1,1,,4,4,,42,14,28
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,15,5,10,,,,,,,5,2,3
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Part-Time,126,22,104,,,,2,2,,42,4,38,112,19,93,,,,2,2,,38,4,34
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,250,123,127,6,,6,7,2,5,163,77,86
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Part-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,11,1,10,,,,,,,3,,3
Bank of Montreal,2018,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,1,1,
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Bank of Montreal,2012,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,14,6,8,,,,,,,2,1,1
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,1850,514,1336,31,7,24,32,11,21,732,267,465
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,8,,8,,,,,,,5,,5
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Full-Time,73,24,49,2,,2,7,3,4,5,2,3,69,22,47,2,,2,7,3,4,5,2,3
